ACN,Local Time Of Day,Light,Flight Phase,Make Model Name,Weather Elements / Visibility,Locale Reference
2013804,0601-1200,,Cruise,MD-11,Turbulence,ZZZ.ARTCC
2014309,1201-1800,,Cruise,MD-11,,ZZZ.ARTCC
2014950,1201-1800,,Cruise,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,10,ZZZ.Airport
2015575,,,Climb,Regional Jet 200 ER/LR (CRJ200),,ZZZ.Airport
2015824,0001-0600,,Parked,Airbus Industrie Undifferentiated or Other Model,,ZZZ.Airport
2015852,1201-1800,,Initial Approach,Citation II S2/Bravo (C550),10,ORD.Airport
2015896,1201-1800,Daylight,Cruise,Small Transport; Low Wing; 2 Turboprop Eng,40,ZMA.ARTCC
2016047,0601-1200,Daylight,Climb,B737-800,,ZZZ.ARTCC
2016500,1201-1800,,Cruise,B737 Next Generation Undifferentiated,,ZZZ.ARTCC
2016780,1801-2400,Night,Cruise,Cessna Stationair/Turbo Stationair 6,10,ZZZ.TRACON
2016810,0601-1200,Daylight,Final Approach,RV-6,10,ZZZ.Airport
2017540,,,Parked,B737 Undifferentiated or Other Model,,
2017620,1801-2400,Night,Climb,A321,Icing; Thunderstorm,ZZZ.Airport
2018224,1801-2400,,Climb,B757 Undifferentiated or Other Model,,ZZZ.TRACON
2018346,0601-1200,,Landing,EMB ERJ 145 ER/LR,,ZZZ.Airport
2018369,1201-1800,,Parked,A321,,ZZZ.Airport
2018487,0601-1200,Dawn,Takeoff / Launch,Skyhawk 172/Cutlass 172,5,ZZZ.Airport
2018695,0601-1200,,Taxi,A319,,ZZZ.Airport
2018802,0601-1200,,Parked; Taxi,B777-300,,ZZZ.Airport
2018832,0601-1200,Daylight,Initial Climb,TBM 900 / TBM 930,10,ZZZ.ARTCC
2019340,0601-1200,,Cruise,B737-800,,
2019685,1801-2400,,Descent,B737-800,,ZZZ.ARTCC
2019880,0001-0600,,Descent; Final Approach; Initial Approach,A320,,ZZZ.Airport
2019939,0001-0600,,Taxi; Parked,B767-300 and 300 ER,,ZZZ.Airport
2020242,0601-1200,Daylight,Cruise,PA-32 Cherokee Six/Lance/Saratoga/6X,Haze / Smoke; 7,ZZZ.Airport
2020920,1201-1800,Daylight,Parked,PA-44 Seminole/Turbo Seminole,,ZZZ.Airport
2021354,1201-1800,,Cruise,Commercial Fixed Wing,,ZAB.ARTCC
2021633,1201-1800,Daylight,Landing,Small Transport; Low Wing; 2 Turboprop Eng,,ZZZ.Airport
2021680,1201-1800,Daylight,Climb,Learjet 45,,ZZZ.ARTCC
2022066,,,Parked,A320,,
2022736,1801-2400,Night,Taxi,B737 MAX 8,,ZZZ.Airport
2022830,0601-1200,Daylight,Landing,Small Aircraft,,ZZZ.Airport
