Anomaly,Count
Deviation / Discrepancy - Procedural Published Material / Policy,69608
Deviation / Discrepancy - Procedural Clearance,50836
Deviation / Discrepancy - Procedural FAR,32620
ATC Issue All Types,29422
Aircraft Equipment Problem Critical,28535
Other Unspecified,24817
Conflict Airborne Conflict,21269
Aircraft Equipment Problem Less Severe,20875
Deviation - Track / Heading All Types,20268
Inflight Event / Encounter Weather / Turbulence,17681
Deviation - Altitude Excursion From Assigned Altitude,13382
Conflict Ground Conflict,13234
Conflict NMAC,12683
Deviation - Altitude Overshoot,11048
Ground Incursion Runway,10415
Critical,8318
Inflight Event / Encounter CFTT / CFIT,7720
Airspace Violation All Types,6834
Inflight Event / Encounter Loss Of Aircraft Control,6689
Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,5998
Deviation / Discrepancy - Procedural Maintenance,5566
Ground Event / Encounter Loss Of Aircraft Control,5378
Deviation - Altitude Crossing Restriction Not Met,5193
Deviation - Speed All Types,5000
Less Severe,4932
Inflight Event / Encounter Other / Unknown,4879
Ground Event / Encounter Other / Unknown,4422
Deviation / Discrepancy - Procedural Other / Unknown,3846
Inflight Event / Encounter Unstabilized Approach,3665
Flight Deck / Cabin / Aircraft Event Other / Unknown,3318
Ground Excursion Runway,2915
Deviation - Altitude Undershoot,2887
Other Airspace Violation Entry or Exit,2515
Flight Deck / Cabin / Aircraft Event Illness / Injury,2444
Inflight Event / Encounter Fuel Issue,2388
Inflight Event / Encounter Wake Vortex Encounter,2335
Ground Incursion Taxiway,2275
Inflight Event / Encounter VFR In IMC,2068
Flight Deck / Cabin / Aircraft Event Passenger Misconduct,1660
Deviation / Discrepancy - Procedural MEL / CDL,1528
Other Runway Or Taxiway Excursion,1482
Ground Event / Encounter Ground Strike - Aircraft,1292
Deviation / Discrepancy - Procedural Landing Without Clearance,1263
Ground Event / Encounter Vehicle,1059
Deviation / Discrepancy - Procedural Weight And Balance,1051
Deviation / Discrepancy - Procedural Hazardous Material Violation,1001
Ground Event / Encounter Object,999
Ground Event / Encounter Ground Equipment Issue,900
Ground Excursion Taxiway,734
Ground Event / Encounter Gear Up Landing,685
Inflight Event / Encounter Bird / Animal,685
Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),622
Ground Event / Encounter Weather / Turbulence,543
Ground Event / Encounter Person / Animal / Bird,415
Inflight Event / Encounter Object,377
No Specific Anomaly Occurred Unwanted Situation,300
Ground Event / Encounter FOD,295
Ground Event / Encounter Aircraft,272
Deviation / Discrepancy - Procedural Security,261
Flight Deck / Cabin / Aircraft Event Passenger Electronic Device,222
Ground Incursion Ramp,178
Ground Event / Encounter Fuel Issue,147
Other ATC HANDLING,140
Other SEE AND AVOID,114
Ground Excursion Ramp,113
Other No Specific Anomaly Occurred,107
Other FLC DISTR,87
Other CLRNC INTERP,67
Other Security Breach Concerns,65
Ground Event / Encounter Jet Blast,61
Inflight Event / Encounter Fly Away (UAS),53
CRM,41
Other TCAS RA,41
Other CREW CONCEPT CRM,37
Inflight Event / Encounter Aircraft,36
Other SIMILAR CALL SIGNS,36
Other FATIGUE,34
Other ATC Handling,33
Other CTLR HANDLING,32
Other CREW CONCEPT,31
Other See and Avoid,27
Other CLRNC/INTERP,26
Other Fatigue,25
Other CRM,23
Other LANGUAGE BARRIER,23
Other Low Fuel,22
Other Low Fuel State,22
Other PLT DISTR,21
Other Fuel Starvation,20
Other SEE AND AVOID CONCEPT,20
Other ATC PROC,20
Other Clrnc Interp,19
Other Ctlr Handling,18
HEARBACK,18
Other Crew Concept,18
Other Engine Failure,16
Other FREQ GUARDED,16
Other DISTR,15
Ground Event / Encounter Loss Of VLOS (UAS),14
Other WRONG RWY APCH,14
Other UNAUTH TKOF,13
Other TFR,13
Aircraft Equipment Problem Unique Event,13
Other PHRASEOLOGY,13
Other Security Breach,13
Hearback,13
Other Flt Crew Fatigue,12
Other Flc Distr,12
Inflight Event / Encounter Laser,12
Other Similar Call Signs,12
Other See And Avoid,12
Other CLRNC EXPECTED,12
Other FLC COORD,12
Other W.A.S.,12
Other ENG FAILURE,11
Other Lost Com,11
Other Minimum Fuel,11
Other Atc Handling,11
Other Language Barrier,11
Other ACFT PERFORMANCE,11
Other CTLR TECHNIQUE,11
Other Plt Distr,10
Other Flt Planning,10
Other See and Avoid Concept,10
Other PLT PLANNING,10
Other DISORIENTATION,10
Other FREQ CONGESTION,10
Other READBACK,10
Other CTLR ATTITUDE,10
Other LOST COM,9
Other Unauthorized Flt,9
Other UNAUTHORIZED FLT,9
Other Readback Hearback,9
Other COMPLACENCY,9
Other Hard Landing,9
Other FLC Distr,9
Other Fuel Exhaustion,8
Other Phraseology,8
Other Clearance Interpretation,8
Other NS,8
Other SECURITY BREACH CONCERNS,8
Other RIGHT OF WAY,8
Other CLOSED RWY,8
Other see and avoid,8
Other Readback / Hearback,8
Other READBACK/HEARBACK,8
Other Clrnc Readback,8
Other READBACK-HEARBACK,8
Other ARPT MARKINGS,8
Other JET BLAST,8
Other ATC PHRASEOLOGY,8
Other EQ OP PROCS,8
Other CLRNC READBACK,8
Other ACFT CONFIGN,8
Other COCKPIT COORD,7
Other LOW FUEL,7
Other Prop Strike,7
Other Tkof Without Clrnc,7
Other Min Fuel,7
Other TCAS.RA,7
Other WRONG RWY LNDG,7
Other SECURITY BREACH CONCERN,7
Other TCAS 2 RA,7
Other SIM CALL SIGNS,7
"Other TCAS ""RA""",7
Other REPLY TO WRONG CALL SIGN,7
Other READBACK HEARBACK,7
Other HARD LNDG,7
Other Brake Failure,6
Other Plt Planning,6
Other Distr,6
Other WX AVOIDANCE,6
Other CLRNC / INTERP,6
Other Security Breach Concern,6
Other Complacency,6
