Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.806198347107438,0.8493687418371789,0.8272206911172355,0.950988416738638
Airspace Violation,0.3801775147928994,0.8081761006289309,0.5171026156941649,0.953295415138298
ATC Issue,0.566394279877426,0.8088986141502553,0.6662661459897867,0.9284372406388984
Conflict,0.760586319218241,0.8664192949907236,0.8100607111882047,0.95071723029009
Deviation - Altitude,0.6376248612652609,0.8691376701966718,0.735595390524968,0.9554260155084958
Deviation - Procedural,0.830702118820108,0.7622950819672131,0.7950298210735587,0.8092054615559232
Deviation - Speed,0.3752495009980039,0.8068669527896996,0.5122615803814714,0.9561375698297162
Deviation - Track/Heading,0.5318275154004107,0.823093220338983,0.6461538461538462,0.940272290522798
Flight Deck/Cabin Event,0.6121437422552665,0.8621291448516579,0.7159420289855073,0.9710281733931996
Ground Event/Encounter,0.4432565789473684,0.8129713423831071,0.5737094199042043,0.9413945103434014
Ground Excursion,0.4277286135693215,0.838150289017341,0.56640625,0.9814391455279972
Ground Incursion,0.5671641791044776,0.9063032367972744,0.6977049180327869,0.9787156757230951
Inflight Event/Encounter,0.6985507246376812,0.8028872848417545,0.7470937742185482,0.9304647968634364
MACRO,0.5875080227687618,0.8320536134454455,0.677734399481868,0.9421170724672299
MICRO,0.6735949296299748,0.817349016059715,0.7385417198916764,0.9421170724672299
