Category,Precision,Recall,F1,ROC-AUC
ATC Issue,0.6159292035398231,0.7659574468085106,0.6827992151733159,0.928527536876191
Aircraft Equipment Problem: Critical,0.6122331217541835,0.802571860816944,0.6945990180032733,0.9316673426891838
Aircraft Equipment Problem: Less Severe,0.36859395532194483,0.5801447776628749,0.45078344716753715,0.8223811304979207
Airspace Violation,0.5,0.7192429022082019,0.5899094437257438,0.9373603998525133
Conflict: Airborne Conflict,0.5432551319648093,0.7515212981744422,0.6306382978723404,0.9251244055952731
Conflict: Ground Conflict,0.45435684647302904,0.7145187601957586,0.5554850982878884,0.9270234862686101
Conflict: NMAC,0.5806045340050378,0.7840136054421769,0.6671490593342981,0.9603952565007696
Deviation - Altitude: Crossing Restriction Not Met,0.6417322834645669,0.6763485477178424,0.6585858585858586,0.9788091457063334
Deviation - Altitude: Excursion From Assigned Altitude,0.38915318744053284,0.6596774193548387,0.48952722920406944,0.9083342418678889
Deviation - Altitude: Overshoot,0.5007072135785007,0.69140625,0.5808039376538146,0.9396649629413724
Deviation - Altitude: Undershoot,0.453125,0.43283582089552236,0.44274809160305345,0.8972846347988587
Deviation - Procedural: Clearance,0.6612001490868431,0.7529711375212224,0.7041079579281604,0.8834614850544141
Deviation - Procedural: FAR,0.4395306859205776,0.6441798941798942,0.5225321888412017,0.8145143235362298
Deviation - Procedural: Hazardous Material Violation,0.8974358974358975,0.7608695652173914,0.8235294117647058,0.9887772523222769
Deviation - Procedural: Landing Without Clearance,0.5882352941176471,0.1724137931034483,0.26666666666666666,0.9640051817287737
Deviation - Procedural: MEL/CDL,0.4533333333333333,0.4788732394366197,0.4657534246575342,0.9758989375467504
Deviation - Procedural: Maintenance,0.5375375375375375,0.6937984496124031,0.6057529610829103,0.9601018472171852
Deviation - Procedural: Other/Unknown,0.15668202764976957,0.17894736842105263,0.16707616707616707,0.7244168297324376
Deviation - Procedural: Published Material/Policy,0.6235329521516702,0.6422814631122132,0.632768361581921,0.759997919223156
Deviation - Procedural: Unauthorized Flight Operations (UAS),0.4375,0.4827586206896552,0.45901639344262296,0.9634408509315697
Deviation - Procedural: Weight And Balance,0.46153846153846156,0.24489795918367346,0.32,0.9858566920744202
Deviation - Speed,0.4980237154150198,0.5431034482758621,0.5195876288659794,0.9497032312360197
Deviation - Track/Heading,0.6056338028169014,0.7326943556975506,0.6631325301204819,0.9295625257100177
Flight Deck/Cabin Event: Illness/Injury,0.6415094339622641,0.6017699115044248,0.6210045662100456,0.9755371985955358
Flight Deck/Cabin Event: Other/Unknown,0.28054298642533937,0.3780487804878049,0.3220779220779221,0.8943482838623116
Flight Deck/Cabin Event: Passenger Misconduct,0.8,0.7792207792207793,0.7894736842105263,0.9850093231705322
Flight Deck/Cabin Event: Smoke/Fire/Fumes/Odor,0.7777777777777778,0.8561151079136691,0.815068493150685,0.9920090804214103
Ground Event/Encounter: Gear Up Landing,0.2692307692307692,0.21875,0.2413793103448276,0.9701354101440199
Ground Event/Encounter: Ground Equipment Issue,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.8995820271682341
Ground Event/Encounter: Ground Strike - Aircraft,0.5576923076923077,0.48333333333333334,0.5178571428571429,0.982262996941896
Ground Event/Encounter: Loss Of Aircraft Control,0.46579804560260585,0.5742971887550201,0.5143884892086331,0.9609012776130268
Ground Event/Encounter: Object,0.75,0.1956521739130435,0.3103448275862069,0.9777863232478605
Ground Event/Encounter: Other/Unknown,0.20816326530612245,0.4063745019920319,0.27530364372469635,0.8561042977202702
Ground Event/Encounter: Vehicle,0.25,0.12244897959183673,0.1643835616438356,0.9526422014588968
Ground Event/Encounter: Weather/Turbulence,0.0,0.0,0.0,0.968013013013013
Ground Excursion: Runway,0.5864661654135338,0.5777777777777777,0.582089552238806,0.9864576578608549
Ground Excursion: Taxiway,0.6153846153846154,0.23529411764705882,0.3404255319148936,0.9872670601498773
Ground Incursion: Runway,0.6180124223602484,0.8240165631469979,0.7062999112688554,0.9766628688386285
Ground Incursion: Taxiway,0.4,0.3584905660377358,0.3781094527363184,0.9659919433890714
Inflight Event/Encounter: Bird/Animal,0.4807692307692308,0.78125,0.5952380952380952,0.9512836568566061
Inflight Event/Encounter: CFTT/CFIT,0.6575342465753424,0.6703910614525139,0.6639004149377593,0.9576556152946729
Inflight Event/Encounter: Fuel Issue,0.6785714285714286,0.8558558558558559,0.7569721115537849,0.989127883258923
Inflight Event/Encounter: Loss Of Aircraft Control,0.3819951338199513,0.5064516129032258,0.435506241331484,0.9176801985626809
Inflight Event/Encounter: Other/Unknown,0.22772277227722773,0.2782258064516129,0.25045372050816694,0.7876646847063805
Inflight Event/Encounter: Unstabilized Approach,0.42011834319526625,0.4176470588235294,0.41887905604719766,0.9345152512387649
Inflight Event/Encounter: VFR In IMC,0.6172839506172839,0.5208333333333334,0.5649717514124294,0.9787918718175316
Inflight Event/Encounter: Wake Vortex Encounter,0.8018018018018018,0.8240740740740741,0.8127853881278538,0.9895337238869922
Inflight Event/Encounter: Weather/Turbulence,0.6253687315634219,0.7765567765567766,0.6928104575163399,0.9417849755443531
MACRO,0.509686481171374,0.5462569149151897,0.5100067244439496,0.9340637175973022
MICRO,0.5405064741606509,0.6730558858501784,0.5995424310469009,0.9555690863922661
