Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.8134199134199134,0.8180235089246843,0.8157152159756892,0.9437930516491391
Airspace Violation,0.48043478260869565,0.6949685534591195,0.5681233933161953,0.9376901811574737
ATC Issue,0.6052631578947368,0.7549234135667396,0.6718597857838364,0.9155979062778762
Conflict,0.7690994451557832,0.8358070500927643,0.8010669037563903,0.9433182549205452
Deviation - Altitude,0.6635630043451273,0.8086232980332829,0.728946471189908,0.9493772790228396
Deviation - Procedural,0.8117179741807349,0.7790697674418605,0.7950588464157183,0.794006468592974
Deviation - Speed,0.55078125,0.6051502145922747,0.5766871165644172,0.9489978642422952
Deviation - Track/Heading,0.5919589392643285,0.7330508474576272,0.6549929010884997,0.927469786941991
Flight Deck/Cabin Event,0.7012578616352201,0.7783595113438045,0.7377998345740281,0.9632871302485959
Ground Event/Encounter,0.5031645569620253,0.7194570135746606,0.5921787709497207,0.923195036458822
Ground Excursion,0.5722543352601156,0.5722543352601156,0.5722543352601156,0.9734328768149414
Ground Incursion,0.6456692913385826,0.838160136286201,0.7294292068198666,0.9758335067675914
Inflight Event/Encounter,0.7044989775051125,0.7651304830649639,0.7335640138408305,0.9202352831729005
MACRO,0.6471602684284904,0.7463829333152383,0.6905905227334781,0.9320180481744603
MICRO,0.7134080231297434,0.7813843021940737,0.7458505384179419,0.9499526660569939
