Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.8130640309411259,0.8236830648672181,0.8183391003460208,0.9439643283819636
Airspace Violation,0.5,0.7075471698113207,0.5859375,0.9360543586387221
ATC Issue,0.6076923076923076,0.7490882567469,0.6710225416530545,0.9157915953585888
Conflict,0.768344709897611,0.8353432282003711,0.8004444444444444,0.9436440252051908
Deviation - Altitude,0.6650031191515907,0.8063540090771558,0.7288888888888889,0.9477904872163163
Deviation - Procedural,0.80811078140455,0.7786885245901639,0.7931268808853509,0.7919213849443681
Deviation - Speed,0.5390625,0.592274678111588,0.5644171779141104,0.9491116028182991
Deviation - Track/Heading,0.581024349286314,0.7330508474576272,0.6482435597189695,0.928605126521843
Flight Deck/Cabin Event,0.7009345794392523,0.7853403141361257,0.7407407407407407,0.964305728514421
Ground Event/Encounter,0.5010416666666667,0.7254901960784313,0.5927295132470733,0.9259046963964999
Ground Excursion,0.5891891891891892,0.630057803468208,0.6089385474860335,0.9723298300705817
Ground Incursion,0.6385224274406333,0.8245315161839863,0.7197026022304833,0.9759726349297586
Inflight Event/Encounter,0.7048593350383632,0.7651304830649639,0.7337593184238551,0.9215774193470925
MACRO,0.6474499227805849,0.7505061609072354,0.6927916012291558,0.9320748629495113
MICRO,0.7121961269056448,0.7819497851164895,0.74544474393531,0.9498931148895522
