Category,Precision,Recall,F1,ROC-AUC
ATC Issue,0.6209535020600353,0.7740278796771827,0.6890920966688439,0.9272221035080374
Aircraft Equipment Problem: Critical,0.6235294117647059,0.8018154311649016,0.7015221707478491,0.9320015501441115
Aircraft Equipment Problem: Less Severe,0.3754889178617992,0.5956566701137539,0.4606157536985206,0.8216892194181024
Airspace Violation,0.4988814317673378,0.7034700315457413,0.5837696335078534,0.9349797205948627
Conflict: Airborne Conflict,0.5467153284671533,0.7596348884381339,0.6358234295415959,0.9268764264198855
Conflict: Ground Conflict,0.45595854922279794,0.7177814029363785,0.5576679340937896,0.9255426501084465
Conflict: NMAC,0.5728900255754475,0.7619047619047619,0.654014598540146,0.9614932929693617
Deviation - Altitude: Crossing Restriction Not Met,0.6482213438735178,0.6804979253112033,0.6639676113360324,0.980106893431006
Deviation - Altitude: Excursion From Assigned Altitude,0.38519924098671726,0.6548387096774193,0.4850657108721625,0.9061729471843424
Deviation - Altitude: Overshoot,0.5,0.68359375,0.5775577557755776,0.9387974423301132
Deviation - Altitude: Undershoot,0.456,0.4253731343283582,0.44015444015444016,0.8928144069706019
Deviation - Procedural: Clearance,0.6639313688922044,0.7555178268251274,0.7067699027198729,0.8831303839543129
Deviation - Procedural: FAR,0.43138131426016985,0.6382275132275133,0.5148039477193919,0.8110823379655048
Deviation - Procedural: Hazardous Material Violation,0.8571428571428571,0.782608695652174,0.8181818181818182,0.988163614842936
Deviation - Procedural: Landing Without Clearance,0.7142857142857143,0.1724137931034483,0.2777777777777778,0.9619320569643561
Deviation - Procedural: MEL/CDL,0.4457831325301205,0.5211267605633803,0.4805194805194805,0.980332029934452
Deviation - Procedural: Maintenance,0.5323529411764706,0.7015503875968992,0.6053511705685619,0.960013427767304
Deviation - Procedural: Other/Unknown,0.17338709677419356,0.22631578947368422,0.1963470319634703,0.7220767518643293
Deviation - Procedural: Published Material/Policy,0.6235786953919809,0.6460012399256044,0.6345919610231425,0.7612199874144057
Deviation - Procedural: Unauthorized Flight Operations (UAS),0.4411764705882353,0.5172413793103449,0.47619047619047616,0.9750099286861326
Deviation - Procedural: Weight And Balance,0.4,0.24489795918367346,0.3037974683544304,0.9844044545529055
Deviation - Speed,0.5232558139534884,0.5818965517241379,0.5510204081632653,0.9507098088720572
Deviation - Track/Heading,0.5959328028293546,0.7177848775292864,0.6512077294685991,0.9301182532926126
Flight Deck/Cabin Event: Illness/Injury,0.6435643564356436,0.5752212389380531,0.6074766355140186,0.9748016015191142
Flight Deck/Cabin Event: Other/Unknown,0.24669603524229075,0.34146341463414637,0.2864450127877238,0.889621955878288
Flight Deck/Cabin Event: Passenger Misconduct,0.7945205479452054,0.7532467532467533,0.7733333333333333,0.985122182603291
Flight Deck/Cabin Event: Smoke/Fire/Fumes/Odor,0.7887788778877888,0.8597122302158273,0.8227194492254734,0.9927155833157482
Ground Event/Encounter: Gear Up Landing,0.3076923076923077,0.25,0.27586206896551724,0.9694270507201002
Ground Event/Encounter: Ground Equipment Issue,0.4166666666666667,0.11904761904761904,0.18518518518518517,0.9072428720704583
Ground Event/Encounter: Ground Strike - Aircraft,0.5686274509803921,0.48333333333333334,0.5225225225225225,0.979112730928742
Ground Event/Encounter: Loss Of Aircraft Control,0.4559748427672956,0.5823293172690763,0.5114638447971781,0.9614296526993659
Ground Event/Encounter: Object,0.6923076923076923,0.1956521739130435,0.3050847457627119,0.9800772365040663
Ground Event/Encounter: Other/Unknown,0.20874751491053678,0.41832669322709165,0.27851458885941643,0.8544662452430813
Ground Event/Encounter: Vehicle,0.15,0.061224489795918366,0.08695652173913043,0.9571935701991641
Ground Event/Encounter: Weather/Turbulence,0.5,0.04,0.07407407407407407,0.9628678678678679
Ground Excursion: Runway,0.5877862595419847,0.5703703703703704,0.5789473684210527,0.9834663133064555
Ground Excursion: Taxiway,0.5555555555555556,0.14705882352941177,0.23255813953488372,0.9882728739748435
Ground Incursion: Runway,0.6301587301587301,0.8219461697722568,0.7133872416891285,0.9755345126935944
Ground Incursion: Taxiway,0.36,0.33962264150943394,0.34951456310679613,0.9623786320933594
Inflight Event/Encounter: Bird/Animal,0.4807692307692308,0.78125,0.5952380952380952,0.9517141515341264
Inflight Event/Encounter: CFTT/CFIT,0.6559139784946236,0.6815642458100558,0.6684931506849315,0.9571209538418671
Inflight Event/Encounter: Fuel Issue,0.6785714285714286,0.8558558558558559,0.7569721115537849,0.9917168623214665
Inflight Event/Encounter: Loss Of Aircraft Control,0.3696682464454976,0.5032258064516129,0.4262295081967213,0.9187525374920997
Inflight Event/Encounter: Other/Unknown,0.23102310231023102,0.28225806451612906,0.2540834845735027,0.7805172750260547
Inflight Event/Encounter: Unstabilized Approach,0.4540229885057471,0.4647058823529412,0.45930232558139533,0.9348458384245759
Inflight Event/Encounter: VFR In IMC,0.6049382716049383,0.5104166666666666,0.5536723163841808,0.9762314312165974
Inflight Event/Encounter: Wake Vortex Encounter,0.8037383177570093,0.7962962962962963,0.8,0.9900546962438478
Inflight Event/Encounter: Weather/Turbulence,0.6211240310077519,0.7826617826617827,0.6925985953538628,0.944611021715773
MACRO,0.5186019248533927,0.5475201505963913,0.5099259414723275,0.9338580278880028
MICRO,0.5398728636138708,0.674577883472057,0.5997547361299053,0.9553031656522308
