Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.8734806629834254,0.6882890727035264,0.7699050401753105,0.8242210980361203
Airspace Violation,0.6627218934911243,0.3522012578616352,0.459958932238193,0.6724117860625805
ATC Issue,0.482837528604119,0.3078045222465354,0.3759465478841871,0.6200344355575551
Conflict,0.8755090168702734,0.698051948051948,0.7767741935483871,0.8308534196781479
Deviation - Altitude,0.6998697916666666,0.813161875945537,0.7522743177046886,0.8722905482078176
Deviation - Procedural,0.689158453373768,0.866374380480366,0.7676716493539397,0.5668540951722774
Deviation - Speed,0.7850467289719626,0.3605150214592275,0.49411764705882355,0.6787852280513396
Deviation - Track/Heading,0.7767988252569751,0.5603813559322034,0.6510769230769231,0.769486452613989
Flight Deck/Cabin Event,0.788235294117647,0.5846422338568935,0.6713426853707415,0.786297826873568
Ground Event/Encounter,0.4668304668304668,0.5731523378582202,0.5145565335138795,0.7571763586053057
Ground Excursion,0.5989304812834224,0.6473988439306358,0.6222222222222222,0.818935097228944
Ground Incursion,0.7950617283950617,0.5485519591141397,0.6491935483870968,0.7687107388436463
Inflight Event/Encounter,0.6096543504171633,0.5680177679067185,0.5881000287438919,0.7315501301490984
MACRO,0.7003180940201597,0.5821955828728913,0.622549251482945,0.7459697857754146
MICRO,0.7073529411764706,0.679993214204931,0.6934032983508246,0.811367797600578
