Category,Precision,Recall,F1,ROC-AUC
ATC Issue,0.5380116959064327,0.40498899486427,0.46211804102134785,0.6668768238523334
Aircraft Equipment Problem: Critical,0.6441281138790036,0.6845688350983359,0.6637330399706637,0.8049431180719462
Aircraft Equipment Problem: Less Severe,0.47072072072072074,0.21613236814891418,0.296243798724309,0.5913995174077904
Airspace Violation,0.6875,0.31230283911671924,0.42950108459869846,0.6532293416362817
Conflict: Airborne Conflict,0.6204217536071032,0.5669371196754563,0.5924748277689454,0.7591476950958708
Conflict: Ground Conflict,0.7965517241379311,0.3768352365415987,0.5116279069767442,0.6844332854777145
Conflict: NMAC,0.6031294452347084,0.7210884353741497,0.656855151045701,0.8417664548656991
Deviation - Altitude: Crossing Restriction Not Met,0.6933333333333334,0.6473029045643154,0.6695278969957081,0.8192147238870959
Deviation - Altitude: Excursion From Assigned Altitude,0.3233256351039261,0.6774193548387096,0.43772798332464824,0.7792936979682259
Deviation - Altitude: Overshoot,0.7857142857142857,0.064453125,0.11913357400722022,0.531626962233511
Deviation - Altitude: Undershoot,0.02631578947368421,0.014925373134328358,0.01904761904761905,0.5027690420155976
Deviation - Procedural: Clearance,0.48833333333333334,0.49745331069609505,0.4928511354079058,0.6402652527689979
Deviation - Procedural: FAR,0.719626168224299,0.10185185185185185,0.17844727694090382,0.5463140888775017
Deviation - Procedural: Hazardous Material Violation,0.825,0.717391304347826,0.7674418604651163,0.8582565604664736
Deviation - Procedural: Landing Without Clearance,0.3898305084745763,0.39655172413793105,0.39316239316239315,0.6960142714168736
Deviation - Procedural: MEL/CDL,0.34705882352941175,0.8309859154929577,0.4896265560165975,0.9085083113835288
Deviation - Procedural: Maintenance,0.6147186147186147,0.5503875968992248,0.5807770961145194,0.7694585232852871
Deviation - Procedural: Other/Unknown,0.046228710462287104,0.1,0.0632279534109817,0.5249584770665645
Deviation - Procedural: Published Material/Policy,0.6494845360824743,0.19528828270303783,0.30028598665395617,0.5621609436892354
Deviation - Procedural: Unauthorized Flight Operations (UAS),0.4318181818181818,0.6551724137931034,0.5205479452054794,0.8260213596256454
Deviation - Procedural: Weight And Balance,0.24242424242424243,0.16326530612244897,0.1951219512195122,0.5800638779608229
Deviation - Speed,0.7619047619047619,0.41379310344827586,0.5363128491620112,0.7049697694505348
Deviation - Track/Heading,0.7945945945945946,0.4696485623003195,0.5903614457831325,0.7267711587992132
Flight Deck/Cabin Event: Illness/Injury,0.45121951219512196,0.6548672566371682,0.5342960288808665,0.8217403084805275
Flight Deck/Cabin Event: Other/Unknown,0.17857142857142858,0.03048780487804878,0.052083333333333336,0.5137794939327212
Flight Deck/Cabin Event: Passenger Misconduct,0.9491525423728814,0.7272727272727273,0.8235294117647058,0.8634474467597893
Flight Deck/Cabin Event: Smoke/Fire/Fumes/Odor,0.8479087452471483,0.802158273381295,0.8243992606284658,0.8984948234718853
Ground Event/Encounter: Gear Up Landing,0.32,0.75,0.4485981308411215,0.8718065122103945
Ground Event/Encounter: Ground Equipment Issue,0.10526315789473684,0.14285714285714285,0.12121212121212122,0.568231079265562
Ground Event/Encounter: Ground Strike - Aircraft,0.16783216783216784,0.4,0.23645320197044334,0.6925223074022873
Ground Event/Encounter: Loss Of Aircraft Control,0.6754385964912281,0.3092369477911647,0.42424242424242425,0.6522369084990839
Ground Event/Encounter: Object,0.16455696202531644,0.2826086956521739,0.208,0.6371643402988004
Ground Event/Encounter: Other/Unknown,0.2879581151832461,0.21912350597609562,0.248868778280543,0.6008056365832062
Ground Event/Encounter: Vehicle,0.19424460431654678,0.5510204081632653,0.2872340425531915,0.7684820916318335
Ground Event/Encounter: Weather/Turbulence,0.06666666666666667,0.08,0.07272727272727272,0.5382482482482484
Ground Excursion: Runway,0.6382978723404256,0.6666666666666666,0.6521739130434783,0.8300981138458936
Ground Excursion: Taxiway,0.4782608695652174,0.3235294117647059,0.38596491228070173,0.661013108738422
Ground Incursion: Runway,0.7759433962264151,0.6811594202898551,0.7254685777287762,0.8342749583530507
Ground Incursion: Taxiway,0.5151515151515151,0.16037735849056603,0.2446043165467626,0.5791774290872751
Inflight Event/Encounter: Bird/Animal,0.4375,0.875,0.5833333333333334,0.9352457733249843
Inflight Event/Encounter: CFTT/CFIT,0.7709923664122137,0.28212290502793297,0.4130879345603272,0.6391029722946167
Inflight Event/Encounter: Fuel Issue,0.34545454545454546,0.34234234234234234,0.3438914027149321,0.6666176675030709
Inflight Event/Encounter: Loss Of Aircraft Control,0.4606741573033708,0.13225806451612904,0.20551378446115287,0.5630149800976908
Inflight Event/Encounter: Other/Unknown,0.14218009478672985,0.12096774193548387,0.13071895424836602,0.5488350101104887
Inflight Event/Encounter: Unstabilized Approach,0.3069620253164557,0.5705882352941176,0.3991769547325103,0.7713397401779624
Inflight Event/Encounter: VFR In IMC,0.5572519083969466,0.7604166666666666,0.6431718061674009,0.8765471794386229
Inflight Event/Encounter: Wake Vortex Encounter,0.550561797752809,0.9074074074074074,0.6853146853146853,0.9486461743068141
Inflight Event/Encounter: Weather/Turbulence,0.7551789077212806,0.4896214896214896,0.5940740740740741,0.7357804586201363
MACRO,0.49257076933129834,0.4383507173079648,0.4219644589305231,0.7082315837497107
MICRO,0.5360545969611126,0.39600475624256837,0.4555078370763465,0.6880983398135745
