DeepSeek V3.2 Zero-Shot: Subcategory (48-label) Classification
=================================================================================================
Test set: 8017 reports | Model: deepseek-ai/DeepSeek-V3.2
API: DeepInfra, temperature=0.0, max_tokens=500
Zero-shot: taxonomy-enriched prompt, 50 concurrent
Wall time: 7.5 min | Failed: 0 | Cost: $1.924
Tokens: 11,756,364 prompt (9,226,368 cached) + 175,169 completion
Parse tiers: {'json': 8013, 'json_fuzzy': 1, 'regex': 0, 'fuzzy': 0, 'empty': 3}

Category                                                 Precision     Recall         F1    ROC-AUC
-------------------------------------------------------------------------------------------------
ATC Issue                                                   0.5380     0.4050     0.4621     0.6669
Aircraft Equipment Problem: Critical                        0.6441     0.6846     0.6637     0.8049
Aircraft Equipment Problem: Less Severe                     0.4707     0.2161     0.2962     0.5914
Airspace Violation                                          0.6875     0.3123     0.4295     0.6532
Conflict: Airborne Conflict                                 0.6204     0.5669     0.5925     0.7591
Conflict: Ground Conflict                                   0.7966     0.3768     0.5116     0.6844
Conflict: NMAC                                              0.6031     0.7211     0.6569     0.8418
Deviation - Altitude: Crossing Restriction Not Met          0.6933     0.6473     0.6695     0.8192
Deviation - Altitude: Excursion From Assigned Altitude      0.3233     0.6774     0.4377     0.7793
Deviation - Altitude: Overshoot                             0.7857     0.0645     0.1191     0.5316
Deviation - Altitude: Undershoot                            0.0263     0.0149     0.0190     0.5028
Deviation - Procedural: Clearance                           0.4883     0.4975     0.4929     0.6403
Deviation - Procedural: FAR                                 0.7196     0.1019     0.1784     0.5463
Deviation - Procedural: Hazardous Material Violation        0.8250     0.7174     0.7674     0.8583
Deviation - Procedural: Landing Without Clearance           0.3898     0.3966     0.3932     0.6960
Deviation - Procedural: MEL/CDL                             0.3471     0.8310     0.4896     0.9085
Deviation - Procedural: Maintenance                         0.6147     0.5504     0.5808     0.7695
Deviation - Procedural: Other/Unknown                       0.0462     0.1000     0.0632     0.5250
Deviation - Procedural: Published Material/Policy           0.6495     0.1953     0.3003     0.5622
Deviation - Procedural: Unauthorized Flight Operations (UAS)     0.4318     0.6552     0.5205     0.8260
Deviation - Procedural: Weight And Balance                  0.2424     0.1633     0.1951     0.5801
Deviation - Speed                                           0.7619     0.4138     0.5363     0.7050
Deviation - Track/Heading                                   0.7946     0.4696     0.5904     0.7268
Flight Deck/Cabin Event: Illness/Injury                     0.4512     0.6549     0.5343     0.8217
Flight Deck/Cabin Event: Other/Unknown                      0.1786     0.0305     0.0521     0.5138
Flight Deck/Cabin Event: Passenger Misconduct               0.9492     0.7273     0.8235     0.8634
Flight Deck/Cabin Event: Smoke/Fire/Fumes/Odor              0.8479     0.8022     0.8244     0.8985
Ground Event/Encounter: Gear Up Landing                     0.3200     0.7500     0.4486     0.8718
Ground Event/Encounter: Ground Equipment Issue              0.1053     0.1429     0.1212     0.5682
Ground Event/Encounter: Ground Strike - Aircraft            0.1678     0.4000     0.2365     0.6925
Ground Event/Encounter: Loss Of Aircraft Control            0.6754     0.3092     0.4242     0.6522
Ground Event/Encounter: Object                              0.1646     0.2826     0.2080     0.6372
Ground Event/Encounter: Other/Unknown                       0.2880     0.2191     0.2489     0.6008
Ground Event/Encounter: Vehicle                             0.1942     0.5510     0.2872     0.7685
Ground Event/Encounter: Weather/Turbulence                  0.0667     0.0800     0.0727     0.5382
Ground Excursion: Runway                                    0.6383     0.6667     0.6522     0.8301
Ground Excursion: Taxiway                                   0.4783     0.3235     0.3860     0.6610
Ground Incursion: Runway                                    0.7759     0.6812     0.7255     0.8343
Ground Incursion: Taxiway                                   0.5152     0.1604     0.2446     0.5792
Inflight Event/Encounter: Bird/Animal                       0.4375     0.8750     0.5833     0.9352
Inflight Event/Encounter: CFTT/CFIT                         0.7710     0.2821     0.4131     0.6391
Inflight Event/Encounter: Fuel Issue                        0.3455     0.3423     0.3439     0.6666
Inflight Event/Encounter: Loss Of Aircraft Control          0.4607     0.1323     0.2055     0.5630
Inflight Event/Encounter: Other/Unknown                     0.1422     0.1210     0.1307     0.5488
Inflight Event/Encounter: Unstabilized Approach             0.3070     0.5706     0.3992     0.7713
Inflight Event/Encounter: VFR In IMC                        0.5573     0.7604     0.6432     0.8765
Inflight Event/Encounter: Wake Vortex Encounter             0.5506     0.9074     0.6853     0.9486
Inflight Event/Encounter: Weather/Turbulence                0.7552     0.4896     0.5941     0.7358
-------------------------------------------------------------------------------------------------
MACRO                                                       0.4926     0.4384     0.4220     0.7082
MICRO                                                       0.5361     0.3960     0.4555     0.6881

>>> Macro-F1: 0.4220  |  Micro-F1: 0.4555 <<<
