Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.8611775969363332,0.783195472355246,0.8203374373005016,0.8663671811054114
Airspace Violation,0.6006600660066007,0.5723270440251572,0.5861513687600645,0.7783328204852684
ATC Issue,0.44084507042253523,0.6849015317286652,0.5364181662382177,0.7532105440750324
Conflict,0.8330266789328427,0.8399814471243042,0.8364896073903002,0.8891653159534564
Deviation - Altitude,0.7391901166781057,0.8146747352496218,0.7750989564591579,0.8790719704215976
Deviation - Procedural,0.7967959527824621,0.720548989706443,0.7567567567567568,0.6880085906359235
Deviation - Speed,0.5948275862068966,0.592274678111588,0.5935483870967742,0.7901201837619776
Deviation - Track/Heading,0.7205542725173211,0.6610169491525424,0.6895027624309392,0.8134662210551444
Flight Deck/Cabin Event,0.7453531598513011,0.699825479930192,0.7218721872187218,0.8407439539926692
Ground Event/Encounter,0.48661233993015135,0.6304675716440422,0.5492772667542707,0.7853597850091232
Ground Excursion,0.5565217391304348,0.7398843930635838,0.6352357320099256,0.8634627148903232
Ground Incursion,0.7640918580375783,0.6235093696763203,0.6866791744840526,0.8041779113367521
Inflight Event/Encounter,0.6834617664493183,0.640199888950583,0.6611238532110092,0.7773320444272376
MACRO,0.6787014002986063,0.6925236577475608,0.6806532043162071,0.8099091720884554
MICRO,0.7204857207105914,0.7247229133680163,0.7225981055480379,0.8337499107858403
