Category,Precision,Recall,F1,ROC-AUC
ATC Issue,0.5173783515392254,0.764490095377843,0.6171157832395617,0.8092062740189485
Aircraft Equipment Problem: Critical,0.679553264604811,0.5983358547655068,0.6363636363636364,0.771311317972746
Aircraft Equipment Problem: Less Severe,0.5034843205574913,0.2988624612202689,0.3750811161583387,0.6292184646526876
Airspace Violation,0.7044534412955465,0.5488958990536278,0.6170212765957447,0.7697076897865542
Conflict: Airborne Conflict,0.6240179573512907,0.563894523326572,0.5924347362813,0.758124192398601
Conflict: Ground Conflict,0.792147806004619,0.5595432300163132,0.655831739961759,0.773693819222095
Conflict: NMAC,0.6265822784810127,0.673469387755102,0.6491803278688525,0.8208509948601868
Deviation - Altitude: Crossing Restriction Not Met,0.7043478260869566,0.6721991701244814,0.6878980891719745,0.8317271570787016
Deviation - Altitude: Excursion From Assigned Altitude,0.47844827586206895,0.5370967741935484,0.506079027355623,0.7440114126476732
Deviation - Altitude: Overshoot,0.7320261437908496,0.21875,0.3368421052631579,0.6066434876748834
Deviation - Altitude: Undershoot,0.02112676056338028,0.022388059701492536,0.021739130434782608,0.5023775894092899
Deviation - Procedural: Clearance,0.7197549770290965,0.398981324278438,0.513380666302567,0.667164218048069
Deviation - Procedural: FAR,0.7172413793103448,0.06878306878306878,0.1255280627640314,0.5312401124084445
Deviation - Procedural: Hazardous Material Violation,0.8181818181818182,0.782608695652174,0.8,0.8908025287318704
Deviation - Procedural: Landing Without Clearance,0.575,0.39655172413793105,0.46938775510204084,0.6972078887054777
Deviation - Procedural: MEL/CDL,0.38461538461538464,0.704225352112676,0.4975124378109453,0.8470786966956534
Deviation - Procedural: Maintenance,0.5327102803738317,0.6627906976744186,0.5906735751295337,0.8217291547400317
Deviation - Procedural: Other/Unknown,0.05555555555555555,0.042105263157894736,0.04790419161676647,0.5123647562755105
Deviation - Procedural: Published Material/Policy,0.7242647058823529,0.18319900805951642,0.2924294903513112,0.5681179761650119
Deviation - Procedural: Unauthorized Flight Operations (UAS),0.46808510638297873,0.7586206896551724,0.5789473684210527,0.8777454975566799
Deviation - Procedural: Weight And Balance,0.26153846153846155,0.3469387755102041,0.2982456140350877,0.6704573395623309
Deviation - Speed,0.7413793103448276,0.3706896551724138,0.4942528735632184,0.6834180453126038
Deviation - Track/Heading,0.7226720647773279,0.3801916932907348,0.4982554082344731,0.6804179715394052
Flight Deck/Cabin Event: Illness/Injury,0.5211267605633803,0.6548672566371682,0.5803921568627451,0.8231320088853856
Flight Deck/Cabin Event: Other/Unknown,0.19298245614035087,0.06707317073170732,0.09954751131221719,0.530607768353247
Flight Deck/Cabin Event: Passenger Misconduct,0.9393939393939394,0.8051948051948052,0.8671328671328671,0.9023455134286369
Flight Deck/Cabin Event: Smoke/Fire/Fumes/Odor,0.7863247863247863,0.6618705035971223,0.71875,0.8277048602751084
Ground Event/Encounter: Gear Up Landing,0.4666666666666667,0.4375,0.45161290322580644,0.7177481214777708
Ground Event/Encounter: Ground Equipment Issue,0.12162162162162163,0.21428571428571427,0.15517241379310345,0.6030676220331394
Ground Event/Encounter: Ground Strike - Aircraft,0.17699115044247787,0.3333333333333333,0.23121387283236994,0.6608227556449248
Ground Event/Encounter: Loss Of Aircraft Control,0.6126760563380281,0.3493975903614458,0.44501278772378516,0.6711586304021441
Ground Event/Encounter: Object,0.15151515151515152,0.21739130434782608,0.17857142857142858,0.6051829185143973
Ground Event/Encounter: Other/Unknown,0.19148936170212766,0.035856573705179286,0.06040268456375839,0.5154817249159427
Ground Event/Encounter: Vehicle,0.2676056338028169,0.3877551020408163,0.31666666666666665,0.6906144988115729
Ground Event/Encounter: Weather/Turbulence,0.05555555555555555,0.12,0.0759493670886076,0.5568093093093094
Ground Excursion: Runway,0.7045454545454546,0.45925925925925926,0.5560538116591929,0.7279803020477976
Ground Excursion: Taxiway,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.6465577587667912
Ground Incursion: Runway,0.8327868852459016,0.525879917184265,0.6446700507614214,0.7595553023670197
Ground Incursion: Taxiway,0.6190476190476191,0.12264150943396226,0.2047244094488189,0.5608151296379772
Inflight Event/Encounter: Bird/Animal,0.5,0.40625,0.4482758620689655,0.7023109737006887
Inflight Event/Encounter: CFTT/CFIT,0.7142857142857143,0.12569832402234637,0.21377672209026127,0.5616740738795633
Inflight Event/Encounter: Fuel Issue,0.42028985507246375,0.5225225225225225,0.46586345381526106,0.75620181274115
Inflight Event/Encounter: Loss Of Aircraft Control,0.5632183908045977,0.15806451612903225,0.24685138539042822,0.5765669667708869
Inflight Event/Encounter: Other/Unknown,0.25,0.036290322580645164,0.06338028169014084,0.5164074859138262
Inflight Event/Encounter: Unstabilized Approach,0.3217821782178218,0.38235294117647056,0.34946236559139787,0.6824470198427275
Inflight Event/Encounter: VFR In IMC,0.6451612903225806,0.20833333333333334,0.31496062992125984,0.603472309893532
Inflight Event/Encounter: Wake Vortex Encounter,0.7857142857142857,0.6111111111111112,0.6875,0.8044176114412553
Inflight Event/Encounter: Weather/Turbulence,0.7053824362606232,0.304029304029304,0.4249146757679181,0.6447904230621652
MACRO,0.5251309224014323,0.3957226555228249,0.41849121051290755,0.6898435309912587
MICRO,0.5989396654719236,0.38149821640903686,0.46610686579306737,0.6833671223939843
