DeepSeek V3.2 Zero-Shot + Thinking: Subcategory (48-label) Classification
=================================================================================================
Test set: 8017 reports | Model: deepseek-ai/DeepSeek-V3.2
API: DeepInfra, temperature=0.0, max_tokens=4096, reasoning=True
Zero-shot: taxonomy-enriched prompt, 50 concurrent
Wall time: 544.7 min | Failed: 1708 | Cost: $5.239
Tokens: 9,212,239 prompt (7,569,472 cached) + 10,074,137 completion
Parse tiers: {'json': 6287, 'json_fuzzy': 0, 'regex': 1, 'fuzzy': 0, 'empty': 1729}

Category                                                 Precision     Recall         F1    ROC-AUC
-------------------------------------------------------------------------------------------------
ATC Issue                                                   0.5174     0.7645     0.6171     0.8092
Aircraft Equipment Problem: Critical                        0.6796     0.5983     0.6364     0.7713
Aircraft Equipment Problem: Less Severe                     0.5035     0.2989     0.3751     0.6292
Airspace Violation                                          0.7045     0.5489     0.6170     0.7697
Conflict: Airborne Conflict                                 0.6240     0.5639     0.5924     0.7581
Conflict: Ground Conflict                                   0.7921     0.5595     0.6558     0.7737
Conflict: NMAC                                              0.6266     0.6735     0.6492     0.8209
Deviation - Altitude: Crossing Restriction Not Met          0.7043     0.6722     0.6879     0.8317
Deviation - Altitude: Excursion From Assigned Altitude      0.4784     0.5371     0.5061     0.7440
Deviation - Altitude: Overshoot                             0.7320     0.2188     0.3368     0.6066
Deviation - Altitude: Undershoot                            0.0211     0.0224     0.0217     0.5024
Deviation - Procedural: Clearance                           0.7198     0.3990     0.5134     0.6672
Deviation - Procedural: FAR                                 0.7172     0.0688     0.1255     0.5312
Deviation - Procedural: Hazardous Material Violation        0.8182     0.7826     0.8000     0.8908
Deviation - Procedural: Landing Without Clearance           0.5750     0.3966     0.4694     0.6972
Deviation - Procedural: MEL/CDL                             0.3846     0.7042     0.4975     0.8471
Deviation - Procedural: Maintenance                         0.5327     0.6628     0.5907     0.8217
Deviation - Procedural: Other/Unknown                       0.0556     0.0421     0.0479     0.5124
Deviation - Procedural: Published Material/Policy           0.7243     0.1832     0.2924     0.5681
Deviation - Procedural: Unauthorized Flight Operations (UAS)     0.4681     0.7586     0.5789     0.8777
Deviation - Procedural: Weight And Balance                  0.2615     0.3469     0.2982     0.6705
Deviation - Speed                                           0.7414     0.3707     0.4943     0.6834
Deviation - Track/Heading                                   0.7227     0.3802     0.4983     0.6804
Flight Deck/Cabin Event: Illness/Injury                     0.5211     0.6549     0.5804     0.8231
Flight Deck/Cabin Event: Other/Unknown                      0.1930     0.0671     0.0995     0.5306
Flight Deck/Cabin Event: Passenger Misconduct               0.9394     0.8052     0.8671     0.9023
Flight Deck/Cabin Event: Smoke/Fire/Fumes/Odor              0.7863     0.6619     0.7188     0.8277
Ground Event/Encounter: Gear Up Landing                     0.4667     0.4375     0.4516     0.7177
Ground Event/Encounter: Ground Equipment Issue              0.1216     0.2143     0.1552     0.6031
Ground Event/Encounter: Ground Strike - Aircraft            0.1770     0.3333     0.2312     0.6608
Ground Event/Encounter: Loss Of Aircraft Control            0.6127     0.3494     0.4450     0.6712
Ground Event/Encounter: Object                              0.1515     0.2174     0.1786     0.6052
Ground Event/Encounter: Other/Unknown                       0.1915     0.0359     0.0604     0.5155
Ground Event/Encounter: Vehicle                             0.2676     0.3878     0.3167     0.6906
Ground Event/Encounter: Weather/Turbulence                  0.0556     0.1200     0.0759     0.5568
Ground Excursion: Runway                                    0.7045     0.4593     0.5561     0.7280
Ground Excursion: Taxiway                                   0.5556     0.2941     0.3846     0.6466
Ground Incursion: Runway                                    0.8328     0.5259     0.6447     0.7596
Ground Incursion: Taxiway                                   0.6190     0.1226     0.2047     0.5608
Inflight Event/Encounter: Bird/Animal                       0.5000     0.4062     0.4483     0.7023
Inflight Event/Encounter: CFTT/CFIT                         0.7143     0.1257     0.2138     0.5617
Inflight Event/Encounter: Fuel Issue                        0.4203     0.5225     0.4659     0.7562
Inflight Event/Encounter: Loss Of Aircraft Control          0.5632     0.1581     0.2469     0.5766
Inflight Event/Encounter: Other/Unknown                     0.2500     0.0363     0.0634     0.5164
Inflight Event/Encounter: Unstabilized Approach             0.3218     0.3824     0.3495     0.6824
Inflight Event/Encounter: VFR In IMC                        0.6452     0.2083     0.3150     0.6035
Inflight Event/Encounter: Wake Vortex Encounter             0.7857     0.6111     0.6875     0.8044
Inflight Event/Encounter: Weather/Turbulence                0.7054     0.3040     0.4249     0.6448
-------------------------------------------------------------------------------------------------
MACRO                                                       0.5251     0.3957     0.4185     0.6898
MICRO                                                       0.5989     0.3815     0.4661     0.6834

>>> Macro-F1: 0.4185  |  Micro-F1: 0.4661 <<<
