Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.965675057208238,0.3674357858075751,0.532324187953327,0.6811078354825242
Airspace Violation,0.5058823529411764,0.4056603773584906,0.450261780104712,0.6946759044441948
ATC Issue,0.34952561669829224,0.6717724288840262,0.45981028457314027,0.7074582210357492
Conflict,0.863204559848005,0.6321892393320965,0.7298527443105757,0.7977522283617005
Deviation - Altitude,0.609771986970684,0.708018154311649,0.6552327616380819,0.809453885248654
Deviation - Procedural,0.8122448979591836,0.1138009912314144,0.19963216853369,0.5322400238501604
Deviation - Speed,0.4548736462093863,0.5407725321888412,0.49411764705882355,0.7607204102500985
Deviation - Track/Heading,0.34208059981255856,0.7733050847457628,0.4743339831059129,0.7877793029362616
Flight Deck/Cabin Event,0.4078794901506373,0.6143106457242583,0.49025069637883006,0.7729564204394279
Ground Event/Encounter,0.3448275862068966,0.06033182503770739,0.10269576379974327,0.5250175586372658
Ground Excursion,0.2305194805194805,0.41040462427745666,0.29521829521829523,0.6901470459717864
Ground Incursion,0.49706457925636005,0.43270868824531517,0.46265938069216755,0.6991222132389242
Inflight Event/Encounter,0.5883134130146083,0.49194891726818435,0.5358330813426065,0.6963188443460896
MACRO,0.5362971743688852,0.4786660995702136,0.4524786749776851,0.7042115303263721
MICRO,0.5438925570228091,0.4099185704591721,0.46749645298594095,0.6699774695588375
