Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.9872611464968153,0.2699172834131476,0.4239316239316239,0.6342626263942369
Airspace Violation,0.6170212765957447,0.36477987421383645,0.45849802371541504,0.6777303461154608
ATC Issue,0.37601957585644374,0.6725018234865062,0.4823437091289563,0.7216098207796684
Conflict,0.8250883392226148,0.6498144712430427,0.7270368448365335,0.7996864475780431
Deviation - Altitude,0.7368421052631579,0.5824508320726173,0.6506125897760878,0.7707701943760884
Deviation - Procedural,0.7652943439784533,0.37914601601219977,0.5070745697896749,0.5805665748395523
Deviation - Speed,0.6326530612244898,0.39914163090128757,0.48947368421052634,0.6961141517712174
Deviation - Track/Heading,0.5475578406169666,0.451271186440678,0.49477351916376305,0.7008468608259728
Flight Deck/Cabin Event,0.7489361702127659,0.6143106457242583,0.6749760306807286,0.7992581203457323
Ground Event/Encounter,0.47282608695652173,0.3936651583710407,0.42962962962962964,0.6771198031389142
Ground Excursion,0.4015151515151515,0.3063583815028902,0.3475409836065574,0.6481607686957978
Ground Incursion,0.6637362637362637,0.514480408858603,0.5796545105566219,0.7469813872105808
Inflight Event/Encounter,0.5634266886326195,0.569683509161577,0.5665378244064053,0.7211704427114949
MACRO,0.6413983115621545,0.47442470933859116,0.525544887956348,0.7057136572909815
MICRO,0.642576166602391,0.4711038226645555,0.5436392704492805,0.7088853981198663
