Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.9240121580547113,0.5293861558554637,0.6731248270135621,0.7559928865235209
Airspace Violation,0.5775862068965517,0.42138364779874216,0.48727272727272725,0.7043496028276652
ATC Issue,0.4024045261669024,0.4150255288110868,0.40861759425493716,0.6441979135138906
Conflict,0.8776796973518285,0.6456400742115028,0.7439871726349546,0.8063458523231427
Deviation - Altitude,0.7713004484304933,0.5204236006051437,0.6214995483288166,0.7450377449618995
Deviation - Procedural,0.8574670903313664,0.36008387342737325,0.507182172103638,0.6239304284935293
Deviation - Speed,0.73,0.3133047210300429,0.43843843843843844,0.6549240286753082
Deviation - Track/Heading,0.7028985507246377,0.2055084745762712,0.3180327868852459,0.5969795894008116
Flight Deck/Cabin Event,0.808252427184466,0.581151832460733,0.6761421319796954,0.7852888060710839
Ground Event/Encounter,0.5220588235294118,0.42835595776772245,0.47058823529411764,0.6965651892889554
Ground Excursion,0.5363128491620112,0.5549132947976878,0.5454545454545454,0.7721841280239234
Ground Incursion,0.7354838709677419,0.38841567291311757,0.5083612040133779,0.688709646836068
Inflight Event/Encounter,0.692167577413479,0.42198778456413105,0.5243187305967575,0.6839235735250577
MACRO,0.7028941712472001,0.4450446629860783,0.5325400087900625,0.7044945684972966
MICRO,0.7437985230070062,0.4442433838498077,0.5562557530269773,0.7065499213697064
