Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.7990018148820327,0.7666521549847627,0.7824927793823595,0.844784229571727
Airspace Violation,0.18791946308724833,0.0880503144654088,0.11991434689507495,0.536194455705394
ATC Issue,0.5,0.31145149525893506,0.3838202247191011,0.6237311425043364
Conflict,0.8390452876376989,0.635899814471243,0.7234828496042216,0.7956163474530128
Deviation - Altitude,0.6077411900635471,0.7957639939485628,0.6891582050442188,0.8473761951295923
Deviation - Procedural,0.6908446163765313,0.8170034311856653,0.748646288209607,0.5657568978658849
Deviation - Speed,0.46096654275092935,0.5321888412017167,0.4940239043824701,0.7568126384986948
Deviation - Track/Heading,0.4016506189821183,0.6186440677966102,0.4870725604670559,0.7480544282645023
Flight Deck/Cabin Event,0.3945720250521921,0.3298429319371728,0.3593155893536122,0.6455130869028656
Ground Event/Encounter,0.5420098846787479,0.4962292609351433,0.5181102362204725,0.7292824939007108
Ground Excursion,0.5360824742268041,0.30057803468208094,0.3851851851851852,0.647430422499216
Ground Incursion,0.5200764818355641,0.46337308347529815,0.4900900900900901,0.7148567174115126
Inflight Event/Encounter,0.4396551724137931,0.45308162132148805,0.44626743232157506,0.643247522177643
MACRO,0.5322742747682467,0.5083660804356991,0.5098138224519265,0.6998966598373146
MICRO,0.6251591827695033,0.6384867676996154,0.6317526926842915,0.7802851847889477
