Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.9464150943396227,0.5459294732259469,0.6924351187189398,0.7667876007159837
Airspace Violation,0.6699029126213593,0.4339622641509434,0.5267175572519084,0.7125804072502064
ATC Issue,0.35677842565597667,0.7140773158278628,0.475820170109356,0.7247892948088812
Conflict,0.8540471637985978,0.62152133580705,0.7194630872483222,0.7913143363817859
Deviation - Altitude,0.6007751937984496,0.7034795763993948,0.6480836236933798,0.8057713264323663
Deviation - Procedural,0.7979154603358425,0.2626763248189096,0.3952387781442708,0.5689721867125285
Deviation - Speed,0.4940239043824701,0.5321888412017167,0.512396694214876,0.7579648597251704
Deviation - Track/Heading,0.6733238231098431,0.5,0.5738601823708207,0.7338732394366198
Flight Deck/Cabin Event,0.312455003599712,0.7574171029668412,0.44240570846075433,0.8147947514566505
Ground Event/Encounter,0.4401772525849335,0.4494720965309201,0.44477611940298506,0.6990620203559627
Ground Excursion,0.35795454545454547,0.7283236994219653,0.48,0.8498053511720423
Ground Incursion,0.5921259842519685,0.6405451448040886,0.6153846153846154,0.8029063393324453
Inflight Event/Encounter,0.543800539083558,0.4480843975569128,0.491324200913242,0.6698214715639762
MACRO,0.5876688694628369,0.5644367363625041,0.5398389119933439,0.7460340911803554
MICRO,0.592552026286966,0.4894820176430672,0.5361080143688839,0.7104900190415869
