Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.7873220027560863,0.7461906835002177,0.7662047384890478,0.8328134555486124
Airspace Violation,0.5634920634920635,0.22327044025157233,0.31981981981981983,0.6080758103406452
ATC Issue,0.3313236503151548,0.8818380743982495,0.48167330677290837,0.7580927221983753
Conflict,0.7717073170731708,0.7337662337662337,0.7522586780789349,0.8271412690570298
Deviation - Altitude,0.5204174228675136,0.867624810892587,0.650595575723199,0.8551899716468291
Deviation - Procedural,0.7567410843722818,0.49752192146397256,0.6003450258769407,0.5988324403602922
Deviation - Speed,0.4343163538873995,0.6952789699570815,0.5346534653465347,0.8341328917126337
Deviation - Track/Heading,0.5566893424036281,0.5201271186440678,0.5377875136911281,0.7325283480544283
Flight Deck/Cabin Event,0.14011360562618339,0.9040139616055847,0.24262295081967214,0.73925099097546
Ground Event/Encounter,0.27645659928656363,0.7013574660633484,0.39658848614072495,0.7682373294278265
Ground Excursion,0.20974889217134415,0.8208092485549133,0.3341176470588235,0.8764191078246552
Ground Incursion,0.4774774774774775,0.2708688245315162,0.3456521739130435,0.6237675220954483
Inflight Event/Encounter,0.5519287833827893,0.30982787340366463,0.3968705547652916,0.6186333023914047
MACRO,0.4905949688547428,0.6286535097717698,0.48916845665354375,0.7440857816641262
MICRO,0.485342895562528,0.6123049083917665,0.5414812221833275,0.740078888225899
