Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.7868409193330329,0.760121898127993,0.7732506643046945,0.838909043722079
Airspace Violation,0.5691056910569106,0.22012578616352202,0.31746031746031744,0.606632916379716
ATC Issue,0.3325196636832113,0.8942377826404084,0.4847765915381574,0.7627190711493665
Conflict,0.7681159420289855,0.7374768089053804,0.7524846190250828,0.8279775348874728
Deviation - Altitude,0.5312208760484622,0.8623298033282905,0.657439446366782,0.8563359816998488
Deviation - Procedural,0.7516910935738444,0.5083873427373237,0.6065499204002729,0.5967597900248449
Deviation - Speed,0.44166666666666665,0.6824034334763949,0.5362563237774031,0.8283352463758878
Deviation - Track/Heading,0.5654205607476636,0.5127118644067796,0.5377777777777778,0.7301587491047983
Flight Deck/Cabin Event,0.13568627450980392,0.9057591623036649,0.23601637107776263,0.7316240598026154
Ground Event/Encounter,0.27631578947368424,0.6968325791855203,0.3957173447537473,0.7664490764780061
Ground Excursion,0.22087745839636913,0.8439306358381503,0.3501199040767386,0.8892502880626402
Ground Incursion,0.48089171974522293,0.2572402044293015,0.33518312985571586,0.6176907740666019
Inflight Event/Encounter,0.5572441742654508,0.3053858967240422,0.3945480631276901,0.6176937492590258
MACRO,0.4936612945791776,0.6297648614051364,0.4905831133493956,0.7438874062317619
MICRO,0.48557949083140467,0.6169418683555756,0.5434349472006376,0.7419600235802369
