Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.9181761399125546,0.6399651719634306,0.754232939969215,0.8085853352421991
Airspace Violation,0.6927374301675978,0.389937106918239,0.49899396378269617,0.6914091436739784
ATC Issue,0.46061922868006516,0.6185266229029905,0.5280199252801993,0.7348589955516003
Conflict,0.8811817597944765,0.6363636363636364,0.7390250471316995,0.8024718997035573
Deviation - Altitude,0.6929487179487179,0.8177004538577912,0.7501734906315058,0.8732209499280031
Deviation - Procedural,0.7188594297148574,0.821768966831872,0.7668771680156542,0.6095978501064292
Deviation - Speed,0.5974025974025974,0.592274678111588,0.5948275862068966,0.7901841960523373
Deviation - Track/Heading,0.6381818181818182,0.7436440677966102,0.6868884540117417,0.8437938648842207
Flight Deck/Cabin Event,0.6137281292059219,0.7958115183246073,0.6930091185410334,0.8786981564317455
Ground Event/Encounter,0.4334677419354839,0.6485671191553545,0.5196374622356495,0.7862128374533038
Ground Excursion,0.42201834862385323,0.7976878612716763,0.552,0.8868378323001757
Ground Incursion,0.5964187327823691,0.737649063032368,0.6595582635186595,0.8491785612868693
Inflight Event/Encounter,0.45340616966580977,0.7834536368684064,0.5743944636678201,0.7554942379440542
MACRO,0.6245497110781633,0.6941038387229669,0.6398182986917517,0.7931187585044981
MICRO,0.6467995592507262,0.7302646460076906,0.6860026560424967,0.8245513451933306
