Category,Precision,Recall,F1,ROC-AUC
ATC Issue,0.3988542785535267,0.8173147468818782,0.53609239653513,0.7824926604863254
Aircraft Equipment Problem: Critical,0.639300134589502,0.7186081694402421,0.6766381766381766,0.8192742116805392
Aircraft Equipment Problem: Less Severe,0.37292161520190026,0.3247156153050672,0.34715312327252623,0.6249109991418953
Airspace Violation,0.6446280991735537,0.4921135646687697,0.5581395348837209,0.7404723667499693
Conflict: Airborne Conflict,0.5375521557719054,0.783975659229209,0.6377887788778878,0.8446972592832149
Conflict: Ground Conflict,0.774074074074074,0.34094616639477976,0.4733861834654587,0.6663536882757259
Conflict: NMAC,0.5280764635603346,0.7517006802721088,0.6203508771929824,0.8492653354247878
Deviation - Altitude: Crossing Restriction Not Met,0.6293436293436293,0.6763485477178424,0.652,0.8320014343527482
Deviation - Altitude: Excursion From Assigned Altitude,0.32895816242821985,0.646774193548387,0.43610657966286026,0.7680944105500487
Deviation - Altitude: Overshoot,0.5168918918918919,0.298828125,0.3787128712871287,0.6398870804880081
Deviation - Altitude: Undershoot,0.005988023952095809,0.007462686567164179,0.006644518272425249,0.4932023568570947
Deviation - Procedural: Clearance,0.5583566760037348,0.5076400679117148,0.5317919075144508,0.6702658915781856
Deviation - Procedural: FAR,0.7530120481927711,0.08267195767195767,0.14898688915375446,0.5381845568528889
Deviation - Procedural: Hazardous Material Violation,0.8,0.782608695652174,0.7912087912087912,0.8907398013450933
Deviation - Procedural: Landing Without Clearance,0.4727272727272727,0.4482758620689655,0.46017699115044247,0.7223160941202975
Deviation - Procedural: MEL/CDL,0.2782608695652174,0.9014084507042254,0.42524916943521596,0.9402587181786921
Deviation - Procedural: Maintenance,0.4564102564102564,0.689922480620155,0.5493827160493827,0.8312996859860666
Deviation - Procedural: Other/Unknown,0.02459016393442623,0.015789473684210527,0.019230769230769232,0.5002928459515981
Deviation - Procedural: Published Material/Policy,0.6300813008130082,0.2882827030378177,0.39557635048915357,0.5871595105671242
Deviation - Procedural: Unauthorized Flight Operations (UAS),0.5675675675675675,0.7241379310344828,0.6363636363636364,0.8610674632638613
Deviation - Procedural: Weight And Balance,0.1927710843373494,0.32653061224489793,0.24242424242424243,0.6590609888533725
Deviation - Speed,0.6057692307692307,0.5431034482758621,0.5727272727272728,0.7662851859234159
Deviation - Track/Heading,0.6728665207877462,0.6549520766773163,0.6637884511602806,0.806354252523456
Flight Deck/Cabin Event: Illness/Injury,0.44642857142857145,0.6637168141592921,0.5338078291814946,0.8259753099136541
Flight Deck/Cabin Event: Other/Unknown,0.31868131868131866,0.17682926829268292,0.22745098039215686,0.5844670981728282
Flight Deck/Cabin Event: Passenger Misconduct,0.881578947368421,0.8701298701298701,0.8758169934640523,0.9344981844352122
Flight Deck/Cabin Event: Smoke/Fire/Fumes/Odor,0.7813504823151125,0.8741007194244604,0.8251273344651953,0.9326570272403346
Ground Event/Encounter: Gear Up Landing,0.2988505747126437,0.8125,0.4369747899159664,0.9024303381340012
Ground Event/Encounter: Ground Equipment Issue,0.05555555555555555,0.023809523809523808,0.03333333333333333,0.5108389311837587
Ground Event/Encounter: Ground Strike - Aircraft,0.16042780748663102,0.5,0.242914979757085,0.740134472791253
Ground Event/Encounter: Loss Of Aircraft Control,0.5506607929515418,0.5020080321285141,0.5252100840336135,0.7444386195658017
Ground Event/Encounter: Object,0.11,0.4782608695652174,0.17886178861788618,0.7279649599362907
Ground Event/Encounter: Other/Unknown,0.22153846153846155,0.2868525896414343,0.25,0.6271373429793574
Ground Event/Encounter: Vehicle,0.1875,0.673469387755102,0.29333333333333333,0.827761300303254
Ground Event/Encounter: Weather/Turbulence,0.07142857142857142,0.16,0.09876543209876543,0.5767467467467468
Ground Excursion: Runway,0.6296296296296297,0.7555555555555555,0.6868686868686869,0.8739716372043193
Ground Excursion: Taxiway,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.6758442572820185
Ground Incursion: Runway,0.6421232876712328,0.7763975155279503,0.7029053420805998,0.8743283038218462
Ground Incursion: Taxiway,0.43902439024390244,0.16981132075471697,0.24489795918367346,0.5834519882752222
Inflight Event/Encounter: Bird/Animal,0.37333333333333335,0.875,0.5233644859813084,0.9345569818409518
Inflight Event/Encounter: CFTT/CFIT,0.7627118644067796,0.25139664804469275,0.37815126050420167,0.6238704091509533
Inflight Event/Encounter: Fuel Issue,0.37222222222222223,0.6036036036036037,0.46048109965635736,0.7946553307671447
Inflight Event/Encounter: Loss Of Aircraft Control,0.44148936170212766,0.267741935483871,0.3333333333333333,0.627058978641118
Inflight Event/Encounter: Other/Unknown,0.14324324324324325,0.21370967741935484,0.1715210355987055,0.586453242622665
Inflight Event/Encounter: Unstabilized Approach,0.3453815261044177,0.5058823529411764,0.4105011933174224,0.7425550416419914
Inflight Event/Encounter: VFR In IMC,0.4126984126984127,0.8125,0.5473684210526316,0.8992433089256406
Inflight Event/Encounter: Wake Vortex Encounter,0.6493506493506493,0.9259259259259259,0.7633587786259542,0.9595491306200625
Inflight Event/Encounter: Weather/Turbulence,0.7769652650822669,0.518925518925519,0.6222547584187409,0.750988183191573
MACRO,0.4584714652970585,0.5182329212535058,0.44906447684961703,0.7436565400796336
MICRO,0.499853786918803,0.48780023781212845,0.4937534602700816,0.7297958667392982
