Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.8190601668862538,0.8119286025250326,0.8154787931788369,0.8701195126771674
Airspace Violation,0.6157205240174672,0.44339622641509435,0.5155393053016454,0.7160030575513214
ATC Issue,0.4099920697858842,0.7541940189642596,0.531209863858207,0.765602928858722
Conflict,0.8623279098873592,0.6391465677179963,0.7341502397442727,0.800891218641607
Deviation - Altitude,0.7496307237813885,0.7677760968229954,0.7585949177877429,0.8586723388012626
Deviation - Procedural,0.7084959471630141,0.8997331300038124,0.7927443735303997,0.6028329695766025
Deviation - Speed,0.6490384615384616,0.5793991416309013,0.6122448979591837,0.785026673619189
Deviation - Track/Heading,0.70662100456621,0.6557203389830508,0.6802197802197802,0.8097615779422296
Flight Deck/Cabin Event,0.579155672823219,0.7661431064572426,0.6596543951915853,0.8617223362563284
Ground Event/Encounter,0.4963054187192118,0.6078431372549019,0.5464406779661017,0.7762152957646953
Ground Excursion,0.4981684981684982,0.7861271676300579,0.6098654708520179,0.884360750629919
Ground Incursion,0.6759581881533101,0.6609880749574105,0.6683893195521102,0.8180225341932018
Inflight Event/Encounter,0.6041025641025641,0.6540810660744031,0.628099173553719,0.7652112842785919
MACRO,0.6441982422763725,0.6943443596490121,0.6578947083612002,0.7934186522146798
MICRO,0.6694371174040711,0.760631078941416,0.7121264261323027,0.8420939208352233
