Category,Precision,Recall,F1,ROC-AUC
ATC Issue,0.44282238442822386,0.13352898019075568,0.20518602029312288,0.5495567954756003
Aircraft Equipment Problem: Critical,0.6244635193133047,0.4402420574886536,0.5164152617568767,0.6939821191102716
Aircraft Equipment Problem: Less Severe,0.43956043956043955,0.04136504653567735,0.07561436672967864,0.517065501991243
Airspace Violation,0.6666666666666666,0.04416403785488959,0.08284023668639054,0.5216274734728993
Conflict: Airborne Conflict,0.3724973656480506,0.7170385395537525,0.49029126213592233,0.7738229250179515
Conflict: Ground Conflict,0.9444444444444444,0.02773246329526917,0.05388272583201268,0.513798700583345
Conflict: NMAC,0.42857142857142855,0.16326530612244897,0.23645320197044334,0.5730177654585862
Deviation - Altitude: Crossing Restriction Not Met,0.48148148148148145,0.2157676348547718,0.2979942693409742,0.6042829943821184
Deviation - Altitude: Excursion From Assigned Altitude,0.3619631901840491,0.09516129032258064,0.15070242656449553,0.5405507681841375
Deviation - Altitude: Overshoot,0.3448275862068966,0.1953125,0.24937655860349128,0.5849980221518988
Deviation - Altitude: Undershoot,0.014705882352941176,0.014925373134328358,0.014814814814814815,0.49896338427108405
Deviation - Procedural: Clearance,0.4883057615516258,0.7266553480475382,0.5841009894234049,0.704875103806493
Deviation - Procedural: FAR,0.29430051813471503,0.18783068783068782,0.22930964876867177,0.5415709934157283
Deviation - Procedural: Hazardous Material Violation,0.44,0.717391304347826,0.5454545454545454,0.8560611019292763
Deviation - Procedural: Landing Without Clearance,0.05533596837944664,0.4827586206896552,0.09929078014184398,0.7113504122420509
Deviation - Procedural: MEL/CDL,0.2388663967611336,0.8309859154929577,0.3710691823899371,0.90366310624887
Deviation - Procedural: Maintenance,0.4,0.2248062015503876,0.2878411910669975,0.6067967081988309
Deviation - Procedural: Other/Unknown,0.026058631921824105,0.25263157894736843,0.047244094488188976,0.5117124931915837
Deviation - Procedural: Published Material/Policy,0.591983556012333,0.17854928704277742,0.27435103596094307,0.5478427921333695
Deviation - Procedural: Unauthorized Flight Operations (UAS),0.1792452830188679,0.6551724137931034,0.2814814814814815,0.8221405383937975
Deviation - Procedural: Weight And Balance,0.06535947712418301,0.20408163265306123,0.09900990099009901,0.5930674227522335
Deviation - Speed,0.5,0.10344827586206896,0.17142857142857143,0.5501827121121521
Deviation - Track/Heading,0.6136363636363636,0.02875399361022364,0.054933875890132246,0.513176092594883
Flight Deck/Cabin Event: Illness/Injury,0.41025641025641024,0.5663716814159292,0.4758364312267658,0.7773660026512844
Flight Deck/Cabin Event: Other/Unknown,0.07881773399014778,0.0975609756097561,0.08719346049046321,0.5368742099492815
Flight Deck/Cabin Event: Passenger Misconduct,0.5247524752475248,0.6883116883116883,0.5955056179775281,0.8411331741306551
Flight Deck/Cabin Event: Smoke/Fire/Fumes/Odor,0.7330508474576272,0.6223021582733813,0.6731517509727627,0.8070807858171404
Ground Event/Encounter: Gear Up Landing,0.10569105691056911,0.40625,0.16774193548387098,0.6962370851596743
Ground Event/Encounter: Ground Equipment Issue,0.03571428571428571,0.023809523809523808,0.02857142857142857,0.5102119719361098
Ground Event/Encounter: Ground Strike - Aircraft,0.05025125628140704,0.16666666666666666,0.07722007722007722,0.5714569980310837
Ground Event/Encounter: Loss Of Aircraft Control,0.28761061946902655,0.26104417670682734,0.2736842105263158,0.6201590605470285
Ground Event/Encounter: Object,0.04676753782668501,0.7391304347826086,0.08796895213454076,0.826095138354797
Ground Event/Encounter: Other/Unknown,0.09627329192546584,0.12350597609561753,0.1082024432809773,0.5430174742698021
Ground Event/Encounter: Vehicle,0.12631578947368421,0.24489795918367346,0.16666666666666666,0.6172406462585035
Ground Event/Encounter: Weather/Turbulence,0.01639344262295082,0.04,0.023255813953488372,0.5162462462462463
Ground Excursion: Runway,0.5125,0.3037037037037037,0.3813953488372093,0.649377860479104
Ground Excursion: Taxiway,0.2,0.29411764705882354,0.23809523809523808,0.6445534997163089
Ground Incursion: Runway,0.4305555555555556,0.12836438923395446,0.19776714513556617,0.5587401983334626
Ground Incursion: Taxiway,0.1891891891891892,0.1320754716981132,0.15555555555555556,0.5622455477565271
Inflight Event/Encounter: Bird/Animal,0.23469387755102042,0.71875,0.35384615384615387,0.8546786944270508
Inflight Event/Encounter: CFTT/CFIT,0.07692307692307693,0.002793296089385475,0.005390835579514825,0.5006132559569528
Inflight Event/Encounter: Fuel Issue,0.14814814814814814,0.14414414414414414,0.1461187214611872,0.5662537062739441
Inflight Event/Encounter: Loss Of Aircraft Control,0.19,0.18387096774193548,0.18688524590163935,0.576170594809076
Inflight Event/Encounter: Other/Unknown,0.08241758241758242,0.06048387096774194,0.06976744186046512,0.5194940914885048
Inflight Event/Encounter: Unstabilized Approach,0.24017467248908297,0.3235294117647059,0.2756892230576441,0.6506776662493722
Inflight Event/Encounter: VFR In IMC,0.2708333333333333,0.13541666666666666,0.18055555555555555,0.5654990163279048
Inflight Event/Encounter: Wake Vortex Encounter,0.44375,0.6574074074074074,0.5298507462686567,0.823077202249664
Inflight Event/Encounter: Weather/Turbulence,0.4098124098124098,0.34676434676434675,0.37566137566137564,0.6449715037517205
MACRO,0.31158310287486674,0.29360085527744556,0.2350138295319518,0.6294495324643666
MICRO,0.3339788130766602,0.27890606420927466,0.30396806883860766,0.6233806168992034
