Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.8141202426916713,0.6425772747061385,0.7182481751824817,0.7919689923208786
Airspace Violation,0.45751633986928103,0.22012578616352202,0.29723991507430997,0.6046914201332754
ATC Issue,0.3275039745627981,0.75127644055434,0.4561558901682905,0.7171637710039795
Conflict,0.6158625730994152,0.7815398886827458,0.6888798037612428,0.8015206236891989
Deviation - Altitude,0.5631713554987212,0.8328290468986385,0.6719560573695453,0.8528917623663083
Deviation - Procedural,0.7267857142857143,0.232748760960732,0.3525844643372798,0.534351506999308
Deviation - Speed,0.463855421686747,0.6609442060085837,0.5451327433628319,0.8190779153202565
Deviation - Track/Heading,0.2762008733624454,0.8040254237288136,0.4111592632719393,0.7619422893291955
Flight Deck/Cabin Event,0.13469985358711567,0.8027923211169284,0.23069207622868607,0.7036314704232748
Ground Event/Encounter,0.2064108790675085,0.6410256410256411,0.31227038941954444,0.7098232120586815
Ground Excursion,0.28640776699029125,0.6820809248554913,0.40341880341880343,0.8223643094611595
Ground Incursion,0.44145873320537427,0.39182282793867124,0.4151624548736462,0.6763995459258865
Inflight Event/Encounter,0.3558919560700505,0.665741254858412,0.46382978723404256,0.659075977421197
MACRO,0.43614505261362574,0.6238099844229736,0.45897921720789575,0.7273002151117385
MICRO,0.40792176842797273,0.5614114453743497,0.47251439722050353,0.6977828794867329
