Category,Precision,Recall,F1,ROC-AUC
Aircraft Equipment Problem,0.8761506276150628,0.455811928602525,0.5996563573883161,0.7150296810230304
Airspace Violation,0.6698113207547169,0.22327044025157233,0.33490566037735847,0.6093701411716055
ATC Issue,0.329490022172949,0.5419401896425966,0.40981798124655267,0.6576777225749323
Conflict,0.6767857142857143,0.7031539888682746,0.6897179253867152,0.7900960161732679
Deviation - Altitude,0.7261462205700124,0.443267776096823,0.5504931892907469,0.7051953280960163
Deviation - Procedural,0.6870046358606251,0.875714830346931,0.7699656414983659,0.5638402600626721
Deviation - Speed,0.6062992125984252,0.33047210300429186,0.42777777777777776,0.6620354369841583
Deviation - Track/Heading,0.6965811965811965,0.17266949152542374,0.2767402376910017,0.5813347457627118
Flight Deck/Cabin Event,0.4601226993865031,0.6544502617801047,0.5403458213256485,0.7977779350662001
Ground Event/Encounter,0.2948453608247423,0.6470588235294118,0.40509915014164305,0.7540266343632698
Ground Excursion,0.29442970822281167,0.6416184971098265,0.4036363636363636,0.80391177682324
Ground Incursion,0.5048231511254019,0.534923339011925,0.5194375516956162,0.7468099328826556
Inflight Event/Encounter,0.49361702127659574,0.6440866185452526,0.5589014695254155,0.7267365657198471
MACRO,0.5627774531749814,0.5283414067934584,0.4989611636139632,0.7010647828233545
MICRO,0.5804878048780487,0.6325491970142502,0.605401309736429,0.7697549410170228
